Movie_ratings,Movie_years,Aspect_Ratio,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Budget,Revenue,Movie_ratings,Finance_Ratio,Finance_Label
8,2012,1.85,14,0,17,78,0,33,53,0,61,11,0,25,220000000.00,623279547.00,8,2.83,BLOCKBUSTER
6.8,2012,1.85,56,0,49,22,0,8,37,0,1,19,0,7,225000000.00,179020854.00,6.8,0.8,FLOP
6.9,2012,2.35,41,1,62,18,0,13,14,0,0,52,0,7,230000000.00,262030663.00,6.9,1.14,HIT
5.8,2012,2.35,82,0,18,38,0,10,76,0,14,13,0,3,209000000.00,65173160.00,5.8,0.31,FLOP
7.7,2012,2.35,63,0,18,62,0,3,35,0,3,6,1,55,200000000.00,304360277.00,7.7,1.52,AVERAGE
7.1,2020,2.35,55,0,18,167,0,1,84,0,23,5,1,6,185000000.00,237282182.00,7.1,1.28,AVERAGE
6.1,2012,2.35,14,0,12,45,0,34,5,0,3,3,1,2,170000000.00,155111815.00,6.1,0.91,FLOP
7.7,2012,2.35,32,0,2,103,0,4,57,0,2,10,1,19,165000000.00,189412677.00,7.7,1.15,HIT
5.7,2012,1.85,82,0,17,19,0,7,17,0,4,6,0,2,150000000.00,83640426.00,5.7,0.56,FLOP
6.2,2012,1.85,65,0,58,64,0,17,270,0,31,32,0,27,100000000.00,79711678.00,6.2,0.8,FLOP
6.8,2012,1.85,38,0,4,71,0,8,43,0,10,6,0,7,145000000.00,216366733.00,6.8,1.49,AVERAGE
7.3,2012,1.85,36,0,22,3,0,0,19,0,0,5,1,16,145000000.00,103400692.00,7.3,0.71,FLOP
5.5,2012,2.35,15,0,34,45,0,37,19,0,19,15,1,18,120000000.00,292298923.00,5.5,2.44,BLOCKBUSTER
6.6,2012,2.35,37,0,26,88,0,0,166,0,9,2,0,3,125000000.00,113165635.00,6.6,0.91,FLOP
7.9,2012,1.85,13,0,3,37,0,2,74,0,27,20,2,102,120000000.00,124976634.00,7.9,1.04,HIT
7,2012,2.35,36,0,54,17,1,51,43,0,3,38,0,44,130000000.00,126464904.00,7,0.97,FLOP
8.4,2012,2.35,40,1,67,99,2,67,33,0,0,18,2,147,100000000.00,162804648.00,8.4,1.63,AVERAGE
6.6,2012,2.35,34,0,1,64,0,47,90,0,21,16,0,2,92000000.00,85017401.00,6.6,0.92,FLOP
7.4,2012,2.35,65,2,69,25,0,2,123,1,23,17,0,39,102000000.00,27098580.00,7.4,0.27,FLOP
6.1,2012,1.85,78,0,12,24,0,1,59,0,0,11,0,4,95000000.00,86897182.00,6.1,0.91,FLOP
6.6,2012,2.35,50,0,18,28,0,8,33,0,22,8,0,1,95000000.00,161317423.00,6.6,1.7,AVERAGE
7.1,2012,1.85,130,0,21,49,0,49,72,0,1,20,0,7,85000000.00,148313048.00,7.1,1.74,AVERAGE
6.7,2012,2.35,50,2,68,49,0,11,54,0,6,7,0,3,85000000.00,126149655.00,6.7,1.48,AVERAGE
5.6,2012,1.85,58,1,41,68,0,7,63,0,9,10,0,6,85000000.00,64933670.00,5.6,0.76,FLOP
7.1,2012,2.35,35,0,1,11,0,14,36,0,1,10,0,3,35000000.00,13401683.00,7.1,0.38,FLOP
7.2,2012,2.35,22,1,78,29,0,11,25,0,1,2,0,8,78000000.00,407999255.00,7.2,5.23,BLOCKBUSTER
5.8,2012,1.85,29,0,14,44,0,9,36,0,5,8,0,0,79000000.00,103812241.00,5.8,1.31,AVERAGE
6.4,2012,2.35,5,0,3,110,0,5,50,0,0,10,0,6,70000000.00,62321039.00,6.4,0.89,FLOP
5.9,2012,2.35,48,0,0,5,0,0,6,0,0,19,0,3,75000000.00,38509342.00,5.9,0.51,FLOP
5.9,2012,2.35,44,0,0,35,0,2,12,0,0,13,0,11,69000000.00,37516013.00,5.9,0.54,FLOP
7.3,2012,2.35,60,0,16,124,0,11,136,0,3,54,2,167,65000000.00,182204440.00,7.3,2.8,BLOCKBUSTER
7.6,2012,1.85,36,1,17,18,1,14,38,1,68,15,1,35,61000000.00,148775460.00,7.6,2.44,BLOCKBUSTER
6.4,2012,2.35,47,0,4,59,0,0,38,0,0,10,0,3,65000000.00,59617068.00,6.4,0.92,FLOP
6.3,2012,2.35,37,0,14,53,0,2,42,0,0,31,0,2,65000000.00,54758461.00,6.3,0.84,FLOP
5.4,2012,2.35,51,0,3,27,0,0,22,0,11,12,0,2,65000000.00,42345531.00,5.4,0.65,FLOP
7,2012,2.35,35,0,44,133,1,48,36,0,19,1,1,9,60000000.00,80033643.00,7,1.33,AVERAGE
7,2012,2.35,49,0,14,13,0,3,76,0,5,0,0,1,60000000.00,55994557.00,7,0.93,FLOP
6.6,2011,2.35,59,0,69,3,0,3,54,0,6,6,0,17,250000000.00,241063875.00,6.6,0.96,FLOP
6.1,2011,2.35,131,0,6,94,0,4,38,0,3,19,1,36,200000000.00,191450875.00,6.1,0.96,FLOP
5.5,2011,2.35,45,0,14,42,0,3,19,1,71,27,0,3,200000000.00,116593191.00,5.5,0.58,FLOP
6.2,2011,2.35,162,0,3,44,0,2,93,0,1,51,0,9,195000000.00,352358779.00,6.2,1.81,SUPER_HIT
7.5,2011,1.85,68,0,23,266,0,23,106,0,12,51,1,154,170000000.00,73820094.00,7.5,0.43,FLOP
7.7,2011,2.35,21,1,94,30,0,58,63,0,2,3,0,5,160000000.00,146405371.00,7.7,0.92,FLOP
8,2011,2.35,10,0,8,55,1,73,115,1,52,14,0,33,150000000.00,181015141.00,8,1.21,HIT
7.2,2011,2.35,52,1,47,71,1,37,358,0,0,1,0,4,150000000.00,165230261.00,7.2,1.1,HIT
5.4,2011,2.35,43,0,1,20,0,4,41,0,1,5,0,0,150000000.00,21379315.00,5.4,0.14,FLOP
7.4,2011,2.35,34,0,46,34,0,27,71,0,6,8,2,32,145000000.00,209364921.00,7.4,1.44,AVERAGE
