Distributor,Theaters_x,Movie_years,Movie_budget,Movie_aspect_ratio,Movie_runtime,Movie_director,Movie_director_credit,Movie_director_awords_Oscars,Movie_director_awords_win,Movie_director_awords_nominations,Movie_actor_1_name,Movie_actor_1_credit,Movie_actor_1_awords_Oscars,Movie_actor_1_awords_win,Movie_actor_1_awords_nominations,Movie_actor_2_name,Movie_actor_2_credit,Movie_actor_2_awords_Oscars,Movie_actor_2_awords_win,Movie_actor_2_awords_nominations,Movie_actor_3_name,Movie_actor_3_credit,Movie_actor_3_awords_Oscars,Movie_actor_3_awords_win,Movie_actor_3_awords_nominations,Movie_music_names,Movie_music_credit,Movie_music_awords_Oscars,Movie_music_awords_win,Movie_music_awords_nominations,Movie_writter_names,Movie_writter_credit,Movie_writter_awords_Oscars,Movie_writter_awords_wins,Movie_writter_awords_nominations,Movie_cinematography_name,Movie_cinematography_credit,Movie_cinematography_aword_Oscars,Movie_cinematography_aword_win,Movie_cinematography_aword_nominations,Movie_costume_name,Movie_costume_credit,Movie_costume_aword_Oscars,Movie_costume_aword_win,Movie_costume_aword_nominations
31,3275,2013,190000000,1.85,107,165,12,2,90,123,78,16,0,3,5,153,44,0,0,1,285,60,1,18,1,175,22,2,12,18,596,5,0,0,2,118,40,1,0,8,200,2,0,0,4
29,3783,2013,120000000,2.39,95,232,2,0,0,1,413,37,3,46,74,461,99,1,56,71,565,0,0,2,0,13,0,0,10,3,343,1,0,0,0,48,19,1,16,19,258,50,0,1,1
22,3612,2010,110000000,2.39,122,353,46,0,24,10,24,0,1,46,105,399,49,6,3,27,125,29,1,48,1,88,92,8,59,87,362,11,0,0,0,275,69,1,5,29,351,0,0,0,0
22,3651,2010,100000000,2.35,100,0,13,1,20,62,438,63,2,5,80,146,2,0,0,0,477,43,2,12,2,110,7,0,6,22,8,15,1,20,62,240,46,0,0,1,55,33,0,0,1
31,3508,2016,50000000,2.35,109,360,10,0,0,2,116,75,0,15,64,372,63,1,12,37,29,0,1,34,1,125,10,1,6,54,234,1,0,0,2,19,17,0,0,0,55,44,0,0,1
29,3175,2016,40000000,2.35,107,444,56,0,0,6,170,64,0,9,26,372,63,1,12,37,711,0,0,1,0,33,30,1,2,-1,481,8,0,5,1,232,16,0,0,0,302,16,0,0,0
10,3270,2010,80000000,2.35,108,432,7,3,50,56,401,62,3,50,56,277,28,0,1,6,343,40,0,6,0,25,46,2,5,10,135,4,0,0,0,150,22,0,0,2,237,5,0,0,0
29,3141,2013,35000000,2.35,116,399,14,0,2,1,190,73,1,7,63,440,0,2,30,98,366,57,2,1,2,33,28,1,7,4,112,6,2,4,4,143,89,1,16,5,55,38,0,0,1
29,3000,2009,70000000,1.85,114,338,2,1,1,5,432,49,0,8,14,272,60,1,3,59,242,42,0,1,0,0,34,2,100,74,313,4,2,9,16,99,50,0,0,2,371,17,0,0,1
22,3236,2021,60000000,1.85,120,49,14,1,3,6,119,48,1,27,84,623,0,2,2,24,703,27,0,0,0,53,0,0,0,0,174,13,1,27,84,47,17,0,0,2,290,44,0,1,1
31,3175,2015,40000000,1.85,103,130,1,0,3,1,438,90,2,10,85,372,60,1,11,36,152,79,4,5,4,32,22,1,4,25,265,13,1,1,12,336,90,1,0,2,359,54,2,0,1
16,2285,2012,1000000,1.85,103,463,2,0,0,2,141,0,0,0,0,593,14,0,0,0,236,30,0,0,0,24,0,0,0,0,605,2,0,0,2,113,19,1,2,7,376,0,0,0,0
21,2015,2012,12000000,2.35,129,444,51,0,0,6,305,30,1,3,12,297,16,0,0,6,497,0,0,0,0,33,25,1,7,4,348,2,0,0,1,192,9,0,0,0,343,29,0,0,1
31,3545,2012,150000000,1.85,123,228,6,0,2,3,377,29,0,6,17,398,84,1,13,40,606,49,2,33,2,90,6,1,7,8,124,0,0,0,0,20,0,0,0,0,164,63,1,5,12
31,3545,2012,150000000,1.85,123,228,6,0,2,3,377,29,0,6,17,398,84,1,13,40,606,49,2,33,2,90,6,1,7,8,124,0,0,0,0,20,0,0,0,0,164,63,1,5,12
31,3111,2010,80000000,2.35,113,5,8,0,1,7,110,48,2,73,165,206,68,1,49,84,523,0,1,3,1,16,0,1,38,81,201,2,0,0,2,84,41,1,0,1,357,32,2,3,17
31,3355,2010,65000000,2.35,109,448,10,4,9,41,361,74,2,31,104,670,40,2,9,27,518,0,1,3,1,32,18,1,4,25,15,8,1,0,3,195,28,1,2,20,240,25,0,1,3
29,3222,2010,150000000,1.85,137,200,11,1,1,6,392,12,0,0,0,208,0,0,2,1,219,0,1,10,1,44,78,4,69,90,32,10,1,3,3,305,53,0,0,4,288,37,4,18,18
26,3356,2010,95000000,2.39,88,63,14,1,6,20,278,14,0,7,22,65,17,0,1,3,18,0,0,1,0,32,18,1,4,25,114,5,0,0,0,313,31,2,2,7,326,40,0,8,13
31,3445,2010,100000000,1.85,124,295,5,2,5,22,381,0,4,14,35,384,0,1,5,9,153,0,6,5,6,1,23,0,12,4,429,9,2,5,22,168,0,0,1,1,153,1,0,0,0
29,3536,2010,100000000,1.85,74,334,7,1,2,9,360,81,2,52,122,47,92,1,3,49,572,36,1,4,1,198,8,0,2,3,302,9,0,0,1,264,62,1,3,12,290,51,0,1,1
22,3119,2009,100000000,2.35,90,352,1,1,15,10,47,26,2,9,45,28,0,0,1,23,304,101,1,8,1,136,27,2,9,-1,483,6,1,15,10,276,0,0,0,2,280,0,6,2,15
29,3158,2015,35000000,2.35,125,238,14,1,12,32,89,31,1,2,1,149,0,0,0,0,104,0,0,0,0,110,8,0,6,22,27,5,1,11,40,155,34,0,4,5,209,0,0,0,0
30,3646,2010,200000000,2.39,116,303,71,1,3,2,180,23,1,25,90,207,0,0,2,14,61,91,1,36,1,78,58,1,9,26,61,7,0,5,8,167,42,1,25,42,315,33,1,3,18
31,3755,2012,150000000,1.85,113,440,32,2,18,65,228,65,3,68,139,454,0,3,16,48,277,0,2,36,2,44,81,4,71,92,542,3,0,0,0,34,17,5,4,48,74,55,4,28,58
31,3755,2012,150000000,1.85,113,440,32,2,18,65,228,65,3,68,139,454,0,3,16,48,277,0,2,36,2,44,81,4,71,92,542,3,0,0,0,34,17,5,4,48,74,55,4,28,58
10,2925,2013,75000000,2.39,115,268,10,0,0,1,209,25,1,13,50,421,51,3,24,117,749,71,3,21,3,25,57,2,8,13,173,16,0,1,2,232,13,0,0,0,172,6,1,3,6
21,2225,2014,24000000,2.35,106,444,53,0,0,6,2,54,0,4,7,448,37,1,3,12,337,21,0,0,0,33,29,1,0,-3,348,3,0,0,1,42,6,0,0,0,343,36,0,0,1
29,3090,2014,50000000,2.35,106,189,7,0,0,5,270,92,1,15,42,341,0,1,108,154,659,52,0,6,0,106,32,1,1,11,308,0,0,0,0,103,25,0,0,3,60,34,1,1,2
10,3316,2012,100000000,2.35,103,406,17,0,0,2,401,64,3,52,58,277,34,0,1,6,343,44,0,6,0,25,55,2,7,12,498,4,0,0,2,305,58,0,0,4,237,6,0,0,0
22,3401,2013,130000000,2.35,100,270,9,2,8,34,178,15,0,10,20,662,58,2,58,133,685,0,1,7,1,88,95,8,62,90,201,4,0,0,2,257,50,1,1,-3,12,25,1,1,11
31,3121,2009,40000000,2.39,82,105,44,0,1,1,52,5,0,0,1,586,0,0,0,0,555,11,0,0,0,25,41,2,4,9,181,4,0,2,1,112,50,0,1,2,72,3,0,0,0
31,3470,2012,79000000,1.78,94,42,8,0,0,3,116,60,0,15,64,445,153,2,30,58,380,29,0,19,0,12,33,0,12,5,73,3,0,0,0,76,51,1,0,2,199,0,0,0,0
30,3440,2011,110000000,2.35,127,402,27,1,4,11,167,31,1,21,91,124,12,0,1,4,238,0,1,6,1,44,80,4,70,91,299,4,1,1,6,218,24,1,5,11,258,49,0,1,1
21,3203,2010,60000000,2.39,96,333,10,0,2,3,317,0,0,3,19,9,0,0,4,7,420,107,0,3,0,227,13,0,0,1,467,8,0,2,3,112,51,0,1,2,103,36,0,1,7
31,3205,2012,95000000,1.85,85,190,11,4,8,12,438,78,2,7,82,670,49,2,11,29,325,29,1,1,1,208,9,1,6,-2,93,18,0,3,5,153,50,2,0,3,87,32,1,1,13
22,3020,2013,55000000,2.35,134,330,16,1,31,63,414,68,2,80,189,82,0,2,9,47,56,0,1,6,1,81,16,0,11,17,59,12,1,1,29,18,66,1,5,15,257,36,2,7,24
29,3334,2009,100000000,2.35,140,293,17,4,6,20,87,36,1,69,122,103,30,0,0,1,320,40,0,3,0,63,28,1,4,13,517,10,0,1,5,59,61,2,9,15,74,49,4,25,55
26,3374,2010,55000000,2.35,88,402,26,1,4,11,396,39,1,24,128,634,0,2,43,127,477,43,2,12,2,32,18,1,4,25,333,1,0,0,1,78,69,1,3,-1,258,48,0,1,1
22,3438,2011,79000000,1.85,91,116,34,0,1,4,3,46,1,54,113,2,43,1,41,110,402,0,0,5,0,191,21,2,2,-2,52,2,0,0,2,77,74,1,3,9,117,36,0,0,0
22,3222,2013,150000000,2.39,131,382,16,0,19,17,76,31,0,23,57,267,51,1,46,82,467,0,1,15,1,76,6,0,0,3,256,6,0,0,17,15,5,0,1,2,234,24,1,2,3
22,3222,2013,150000000,2.39,131,382,16,0,19,17,76,31,0,23,57,267,51,1,46,82,467,0,1,15,1,76,6,0,0,3,256,6,0,0,17,15,5,0,1,2,234,24,1,2,3
16,3047,2010,38000000,2.35,110,131,20,4,99,273,198,77,1,37,101,221,0,1,14,42,486,51,1,23,1,27,47,2,18,65,291,20,4,125,296,287,74,2,156,149,264,31,3,7,31
22,3036,2009,23600000,2.39,88,386,10,0,1,1,209,11,1,9,46,667,61,3,17,78,223,0,1,60,1,54,4,0,1,1,491,10,0,2,10,222,17,1,0,6,245,13,0,0,1
17,3039,2012,12000000,2.35,110,301,2,0,1,1,369,0,0,0,0,137,21,0,5,17,683,45,1,42,1,159,19,0,0,3,361,2,0,0,2,302,21,0,0,2,121,0,0,0,0
