Aspect_Ratio,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_writter_credit,Movie_Writter_Oscar_Awards,Music_Writter_Other_Awards,Movie_music_credit,Music_Oscar_Awards,Music_Other_Awards,Movie_cinematography_credit,Cinematograpy_Oscar_Awards,Cinematograpy_Other_Awards,Budget,Movie_ratings,IMDb_Label
2.35,15,0,1,56,0,1,80,0,7,16,0,5,16,0,5,32,0,8,103,1,121,23,0,0,225000000.00,7,CLASS-3
2.35,10,0,3,4,0,0,64,0,10,20,3,136,20,3,136,13,3,44,72,3,87,46,1,27,225000000.00,7.8,CLASS-4
2.35,79,0,33,57,0,6,75,0,36,1,0,4,1,0,4,6,0,0,57,0,16,31,2,16,200000000.00,7.2,CLASS-3
2.35,20,0,0,55,0,12,72,0,51,32,0,14,32,0,14,5,0,0,86,0,80,48,0,2,215000000.00,6.3,CLASS-2
2.35,103,1,10,66,2,83,31,0,0,10,0,6,10,0,6,3,0,0,43,0,18,13,0,0,190000000.00,7,CLASS-3
2.35,43,0,28,112,0,6,36,0,6,11,0,25,11,0,25,13,0,3,28,1,80,18,0,0,190000000.00,7.7,CLASS-4
2.35,92,0,7,76,0,3,91,0,0,11,0,18,11,0,18,5,0,0,32,1,8,58,0,5,195000000.00,6.2,CLASS-2
2.35,41,1,82,15,0,4,61,0,2,13,0,35,13,0,35,11,0,35,24,1,13,10,0,5,105000000.00,7.2,CLASS-3
1.85,16,0,3,88,0,5,33,0,0,12,2,97,12,2,97,5,0,0,21,0,22,40,1,8,190000000.00,6.9,CLASS-3
2.35,72,0,10,104,0,1,9,0,0,5,0,0,5,0,0,6,0,0,15,0,3,46,0,8,175000000.00,6.3,CLASS-2
2.24,34,0,8,298,0,13,9,0,2,2,1,12,2,1,12,0,0,1,1,2,18,0,0,1,150000000.00,7.4,CLASS-3
2.35,17,0,10,55,1,77,119,1,52,30,0,8,30,0,8,8,0,0,57,0,16,55,0,2,170000000.00,6.9,CLASS-3
2.35,31,0,17,44,0,0,78,0,0,16,0,19,16,0,19,6,0,0,6,0,3,5,0,1,150000000.00,6.4,CLASS-2
2.35,31,0,17,46,0,11,18,0,0,12,0,2,12,0,2,11,0,2,16,0,11,35,0,3,130000000.00,5.8,CLASS-2
2.35,51,0,16,135,0,6,29,0,3,3,0,0,3,0,0,5,0,0,16,0,11,0,0,0,135000000.00,6.4,CLASS-2
2.35,24,0,98,34,0,16,58,0,1,78,0,5,78,0,5,14,1,26,94,0,68,27,0,1,130000000.00,7.5,CLASS-3
2.35,58,0,51,30,0,3,178,0,3,9,0,16,9,0,16,4,0,0,94,0,68,49,0,9,130000000.00,4.8,CLASS-1
