Movie_years,Aspect_Ratio,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Budget,IMDb_Label
2009,2.35,90,1,53,6,1,13,66,0,14,25,0,4,150000000,CLASS-2
2009,2.35,29,0,26,39,0,12,18,0,10,6,0,29,150000000,CLASS-3
2009,2.35,54,2,71,29,0,3,136,0,26,27,2,37,150000000,CLASS-3
2017,2.35,28,0,8,135,0,6,137,0,7,13,0,20,150000000,CLASS-3
2019,2.35,133,0,2,44,0,8,206,0,4,22,0,5,130000000,CLASS-4
2009,1.85,42,0,37,103,0,3,39,0,7,7,0,11,105000000,CLASS-3
2009,2.35,54,0,69,36,1,58,43,0,6,17,0,18,100000000,CLASS-3
2009,2.35,47,2,71,13,0,1,55,0,2,27,0,4,100000000,CLASS-2
2009,2.35,87,0,14,8,0,3,2,0,2,79,1,64,100000000,CLASS-3
2009,1.85,57,0,11,59,0,4,25,0,0,19,0,1,100000000,CLASS-2
2009,2.35,58,0,6,39,0,3,31,1,76,16,3,124,65000000,CLASS-3
2009,2.35,19,0,1,25,0,0,16,0,8,1,1,27,100000000,CLASS-3
2009,1.85,50,0,3,97,0,3,29,0,1,5,0,2,90000000,CLASS-3
2009,1.85,72,0,34,66,0,6,9,0,1,13,0,8,90000000,CLASS-4
2009,1.85,73,3,151,15,0,2,0,0,5,4,0,6,85000000,CLASS-2
2009,2.35,82,0,14,22,0,1,21,0,0,9,0,1,80000000,CLASS-2
2018,2.35,222,0,3,132,0,4,41,0,19,7,0,6,40000000,CLASS-3
2009,1.85,61,0,29,35,0,8,81,0,4,7,0,3,35000000,CLASS-2
2009,1.85,44,0,43,26,0,2,2,0,0,8,0,16,75000000,CLASS-2
2009,2.35,22,0,56,57,2,83,94,2,83,16,2,156,75000000,CLASS-4
2009,1.85,69,0,17,22,0,0,30,0,9,26,0,6,75000000,CLASS-1
2009,2.35,9,0,4,5,0,1,14,0,1,6,0,58,70000000,CLASS-3
2009,2.35,54,1,34,6,1,49,307,0,13,1,0,0,65000000,CLASS-2
2009,1.85,46,0,6,25,0,5,35,0,1,2,0,1,60000000,CLASS-2
2016,1.78,7,0,0,17,0,0,2,0,2,45,0,10,60000000,CLASS-4
2009,1.85,51,0,5,56,0,3,4,0,0,8,0,9,60000000,CLASS-4
2009,1.85,37,0,18,55,0,2,167,0,15,13,0,7,60000000,CLASS-1
2009,2.35,47,1,21,90,1,47,9,0,1,32,4,131,60000000,CLASS-3
