Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_writter_credit,Movie_Writter_Oscar_Awards,Music_Writter_Other_Awards,Movie_music_credit,Music_Oscar_Awards,Music_Other_Awards,Movie_cinematography_credit,Cinematograpy_Oscar_Awards,Cinematograpy_Other_Awards,Budget,Movie_ratings,IMDb_Label
52,3,148,12,0,0,209,5,184,36,2,36,135000000.00,7.3,CLASS-3
10,0,3,5,0,0,51,0,16,33,0,3,125000000.00,7.3,CLASS-3
16,0,8,2,0,0,95,1,121,65,1,11,125000000.00,7.5,CLASS-3
105,1,30,5,0,12,92,0,68,29,0,1,120000000.00,5.8,CLASS-2
8,0,0,12,0,0,72,0,6,49,0,3,110000000.00,5.4,CLASS-2
27,0,4,4,0,1,81,0,80,24,1,5,110000000.00,7.1,CLASS-3
22,0,112,15,0,9,1,0,2,20,0,12,94000000.00,7.6,CLASS-4
4,0,2,2,0,1,22,0,12,44,1,27,93000000.00,7.6,CLASS-4
85,0,49,13,1,45,8,1,21,28,0,1,90000000.00,7.8,CLASS-4
11,0,2,1,0,0,22,0,1,53,0,1,75000000.00,5.7,CLASS-2
48,0,6,0,0,0,20,0,5,63,0,19,75000000.00,6.2,CLASS-2
0,0,0,21,0,1,60,0,20,2,0,0,100000000.00,7.1,CLASS-3
11,0,20,5,0,6,20,0,5,29,0,2,80000000.00,6.4,CLASS-2
0,0,0,10,0,2,28,0,21,45,0,0,75000000.00,4.3,CLASS-1
34,0,1,6,0,0,21,0,12,88,0,3,80000000.00,6.4,CLASS-2
6,0,0,15,0,0,21,0,12,30,0,1,80000000.00,5.2,CLASS-2
34,0,1,2,0,2,21,0,12,75,0,3,79000000.00,3.3,CLASS-1
9,0,6,0,0,1,26,0,9,24,0,0,75000000.00,6,CLASS-2
15,0,5,2,0,5,16,0,6,17,0,0,82000000.00,6,CLASS-2
5,0,2,2,0,0,51,0,16,22,0,1,70000000.00,5.7,CLASS-2
52,3,148,6,0,5,209,5,184,36,2,36,66000000.00,7.2,CLASS-3
30,2,37,6,0,0,59,0,8,25,0,0,70000000.00,5.3,CLASS-2
1,1,5,0,0,0,16,0,8,9,0,5,35000000.00,6.4,CLASS-2
12,0,3,3,0,0,0,0,1,0,0,0,36000000.00,5.8,CLASS-2
1,0,1,6,0,3,22,8,48,5,0,1,260000000.00,7.7,CLASS-4
46,0,44,0,0,0,48,0,2,20,0,1,200000000.00,5.3,CLASS-2
31,0,27,30,0,1,79,0,80,49,0,1,200000000.00,6.4,CLASS-2
1,0,0,7,0,1,1,0,6,17,1,24,170000000.00,6.8,CLASS-3
4,2,28,14,1,36,19,2,45,3,0,0,200000000.00,8.3,CLASS-4
72,0,13,7,0,5,56,0,20,42,1,36,200000000.00,6.6,CLASS-3
10,0,8,2,0,3,88,0,32,48,0,14,200000000.00,7,CLASS-3
0,0,0,1,0,1,56,0,20,1,0,0,165000000.00,6.3,CLASS-2
2,0,8,13,0,3,14,0,41,0,0,0,165000000.00,8.1,CLASS-4
10,0,137,10,0,137,92,1,121,38,1,26,160000000.00,8.8,CLASS-4
15,0,0,17,0,1,22,0,15,32,0,2,150000000.00,6.1,CLASS-2
67,0,23,4,0,5,18,1,17,62,0,19,155000000.00,6.3,CLASS-2
11,1,1,9,0,3,79,0,80,53,0,0,150000000.00,5.8,CLASS-2
5,0,1,0,0,0,58,0,8,12,0,3,130000000.00,7.2,CLASS-3
9,0,1,4,0,0,19,0,20,22,0,0,125000000.00,5.8,CLASS-2
5,3,47,29,3,47,92,1,121,34,2,36,120000000.00,5.4,CLASS-2
8,0,11,1,0,0,14,0,41,44,0,10,117000000.00,6.3,CLASS-2
4,0,0,15,0,3,14,0,11,47,0,0,112000000.00,4.9,CLASS-1
7,0,2,9,0,0,8,0,2,62,0,3,100000000.00,5.5,CLASS-2
13,1,31,15,1,31,6,0,6,46,0,0,100000000.00,6.6,CLASS-3
6,0,56,4,0,60,91,0,68,42,1,36,100000000.00,6,CLASS-2
14,0,5,2,0,1,9,0,14,0,0,0,80000000.00,6.9,CLASS-3
15,0,38,19,1,31,14,0,41,59,0,13,100000000.00,6.8,CLASS-3
5,0,7,9,0,7,23,0,12,0,0,1,100000000.00,4.5,CLASS-1
14,0,6,5,0,0,18,0,5,31,0,2,95000000.00,5.9,CLASS-2
28,0,6,5,0,0,56,0,20,12,0,0,100000000.00,6.8,CLASS-3
24,0,35,30,0,35,3,0,13,75,0,1,90000000.00,4.2,CLASS-1
21,0,14,2,0,0,5,0,3,42,0,3,60000000.00,7.5,CLASS-3
7,0,0,7,0,1,23,0,7,55,0,0,85000000.00,4.3,CLASS-1
8,0,61,4,0,0,46,0,16,22,0,0,80000000.00,6.1,CLASS-2
47,1,166,4,0,1,0,3,19,43,3,12,80000000.00,8.2,CLASS-4
8,0,1,2,0,0,0,1,24,41,0,0,80000000.00,6.9,CLASS-3
8,0,1,11,0,0,88,0,32,0,0,0,80000000.00,4.6,CLASS-1
